tmdb_id,actor_name,character,tmdb_person_id,cast_id,credit_id,order,gender
20504,Denzel Washington,Eli,5292,1,52fe43e9c3a368484e005825,0,2
20504,Gary Oldman,Carnegie,64,2,52fe43e9c3a368484e005829,1,2
20504,Mila Kunis,Solara,18973,4,52fe43e9c3a368484e005831,2,1
20504,Ray Stevenson,Redridge,56614,6,52fe43e9c3a368484e005839,3,2
20504,Jennifer Beals,Claudia,3130,5,52fe43e9c3a368484e005835,4,1
20504,Tom Waits,Engineer,2887,8,52fe43e9c3a368484e005841,5,2
20504,Michael Gambon,George,5658,3,52fe43e9c3a368484e00582d,6,2
20504,Evan Jones,Martz,333,12,52fe43e9c3a368484e005851,7,2
20504,Frances de la Tour,Martha,47468,7,52fe43e9c3a368484e00583d,8,1
20504,Lateef Crowder,Highjacker #3,123812,46,544cdc97c3a36872c7001e3f,9,2
20504,Chris Browning,Highjacker Leader,76543,10,52fe43e9c3a368484e005849,10,2
20504,Joe Pingue,Hoyt,86237,11,52fe43e9c3a368484e00584d,11,2
20504,Lora Martinez-Cunningham,Young Woman Highjacker,1151637,109,5692551b92514115c5001d39,12,1
20504,Malcolm McDowell,Lombardi,56890,23,52fe43e9c3a368484e005883,13,2
20504,Mike McCarty,Sniper,1651045,110,57894d229251413f08000bb0,14,2
20504,Richard Cetrone,Hijacker,12371,111,57aecfdec3a36872390026b4,15,2
20504,Don Thai Theerathada,Hijacker,1083165,112,57aed996c3a36821c6002043,16,2
20504,Thom Williams,Hijacker,1452956,113,57aedcd892514172f4000432,17,2
20504,Scott Wilder,Middle-Aged Man,1549025,114,57aede7c9251412f4e004b8f,18,2
20504,Heidi Pascoe,Middle-Aged Woman,1665465,115,57aedf78925141728c000557,19,1
20504,Jennifer Caputo,Biker,60537,116,57aee1d5c3a36803ac00062a,20,1
20504,Eddie Perez,Biker,1031469,117,57aee3ce925141728c0007a2,21,2
20504,Spencer Sano,Biker / Town Thug,92483,118,57aee48ac3a3680373000861,22,0
20504,Mike Gunther,Sniper,131413,119,57aee4fbc3a36803ac0007d6,23,2
20504,John Koyama,Sniper,92495,120,57aee609925141289d0025c6,24,2
20504,Scott Michael Morgan,Construction Thug Leader,66667,121,57aee67e9251410a14002f12,25,2
20504,Sala Baker,Construction Thug,1366,122,57aee6d1c3a368031e0008a3,26,2
20504,Arron Shiver,Bartender,105786,123,57aee747c3a3680373000a1a,27,2
20504,Justin Tade,Town Doctor,587413,124,57aee9189251412f4e005140,28,2
20504,Mike Seal,Door Guard,1123871,125,57aee98d9251412f4e005171,29,2
20504,Edward A. Duran,Town Thug,1335375,126,57aeeb239251412f4e00522b,30,2
20504,David Wald,Town Thug,1380919,127,57aeed40c3a3680359000c90,31,2
20504,Jermaine Washington,Town Thug,210700,128,57aeeda0c3a3680373000d2d,32,2
20504,Clay Donahue Fontenot,Convoy Thug,1291797,129,57aeee0f92514172f4000c6a,33,2
20504,Al Goto,Convoy Thug,1537690,130,57aeef8bc3a3680359000daf,34,2
20504,Brad Martin,Convoy Thug,146143,131,57aef04ac3a368031e000d2c,35,2
