tmdb_id,weekday_released,month_released,day_released,year_released
20504,Monday,1,11,2010
32856,Thursday,2,11,2010
11324,Thursday,2,18,2010
32657,Thursday,2,11,2010
22971,Thursday,2,4,2010
12155,Friday,3,5,2010
23169,Friday,3,12,2010
10191,Friday,3,26,2010
18823,Friday,4,2,2010
23483,Friday,4,16,2010
10138,Friday,5,7,2010
20662,Friday,5,14,2010
46705,Friday,1,28,2011
9543,Thursday,5,27,2010
37056,Friday,5,14,2010
34544,Friday,6,11,2010
10193,Thursday,6,17,2010
10192,Sunday,5,16,2010
24021,Wednesday,6,23,2010
10196,Thursday,7,1,2010
34851,Saturday,7,3,2010
20352,Friday,7,9,2010
27205,Friday,7,16,2010
38365,Thursday,6,24,2010
27022,Tuesday,7,13,2010
37834,Wednesday,6,23,2010
38575,Thursday,6,10,2010
27576,Friday,7,23,2010
27581,Friday,8,6,2010
27578,Tuesday,8,3,2010
22538,Friday,8,13,2010
23631,Friday,9,3,2010
35791,Friday,9,10,2010
37799,Friday,10,1,2010
23168,Friday,9,17,2010
37735,Friday,9,17,2010
38408,Friday,10,8,2010
39514,Thursday,10,14,2010
41733,Thursday,11,4,2010
44115,Friday,11,5,2010
38055,Thursday,11,4,2010
44214,Friday,12,17,2010
44048,Friday,11,12,2010
12444,Friday,11,19,2010
45269,Monday,9,6,2010
38757,Wednesday,11,24,2010
45317,Friday,12,17,2010
38117,Friday,3,4,2011
43347,Wednesday,11,24,2010
10140,Friday,12,10,2010
37710,Friday,12,10,2010
44264,Wednesday,12,22,2010
20526,Friday,12,10,2010
39451,Tuesday,12,21,2010
40805,Thursday,1,13,2011
49849,Friday,7,29,2011
51876,Tuesday,3,8,2011
41630,Friday,1,21,2011
48138,Friday,2,18,2011
39513,Thursday,3,17,2011
44896,Thursday,3,3,2011
38050,Friday,3,4,2011
27582,Friday,1,28,2011
46529,Friday,2,18,2011
44943,Tuesday,3,8,2011
50546,Tuesday,6,7,2011
49730,Friday,3,11,2011
45612,Friday,4,1,2011
23629,Friday,3,25,2011
49018,Friday,4,1,2011
50456,Friday,4,8,2011
46195,Friday,4,15,2011
62215,,0,0,0
10195,Friday,5,6,2011
51497,Thursday,4,28,2011
55721,Friday,5,13,2011
1865,Friday,5,20,2011
59436,Friday,5,20,2011
8967,,0,0,0
45243,Wednesday,5,25,2011
49444,Wednesday,5,25,2011
49538,Friday,6,3,2011
37686,Friday,6,10,2011
44912,Friday,6,17,2011
52449,Sunday,6,19,2011
38356,Tuesday,6,28,2011
51540,Friday,7,8,2011
49013,Thursday,6,16,2011
12445,Friday,7,15,2011
64690,Friday,9,16,2011
1771,Friday,7,22,2011
50646,Friday,7,29,2011
51828,Friday,8,19,2011
41513,Friday,7,29,2011
50544,Thursday,7,21,2011
61791,Thursday,8,4,2011
50014,Wednesday,8,10,2011
55779,Friday,8,12,2011
63311,Friday,10,14,2011
39538,Friday,9,9,2011
60308,Thursday,9,22,2011
24428,Friday,5,4,2012
59440,Friday,9,9,2011
40807,Friday,9,30,2011
74643,Friday,1,20,2012
39254,Thursday,10,6,2011
49530,Friday,10,28,2011
58233,Friday,10,21,2011
59965,Friday,9,23,2011
17578,Tuesday,12,20,2011
44826,Wednesday,11,23,2011
50619,Thursday,11,17,2011
57212,Sunday,12,25,2011
76163,Friday,8,17,2012
70160,Friday,3,23,2012
49026,Friday,7,20,2012
49040,Friday,8,10,2012
58574,Friday,12,16,2011
