youtube_id,title,channel_title,channel_id,description,tags,view_count,like_count,dislike_count,comment_count,tmdb_id,similarity_score
zSMHmtaoXtI,"The Book of Eli (2010) Official Trailer - Denzel Washington, Mila Kunis Movie HD",Movieclips Classic Trailers,UCTCjFFoX1un-j7ni4B6HJ3Q,"The Book of Eli (2010) Official Trailer - Denzel Washington, Mila Kunis Movie HD
Subscribe to CLASSIC TRAILERS: http://bit.ly/1u43jDe
Subscribe to TRAILERS: http://bit.ly/sxaw6h
Subscribe to COMING SOON: http://bit.ly/H2vZUn
Like us on FACEBOOK: http://bit.ly/1QyRMsE
Follow us on TWITTER: http://bit.ly/1ghOWmt

A post-apocalyptic tale, in which a lone man fights his way across America in order to protect a sacred book that holds the secrets to saving humankind.

Welcome to the Fandango MOVIECLIPS Trailer Vault Channel. Where trailers from the past, from recent to long ago, from a time before YouTube, can be enjoyed by all. We search near and far for original movie trailer from all decades. Feel free to send us your trailer requests and we will do our best to hunt it down.","['movieclips', 'movie clips', 'movieclipstrailers', 'new trailers', 'trailers HD', 'hd', 'trailers', 'movieclipsDOTcom', 'trailer', '2013', 'official', 'HD', 'zefr', 'classic trailers', 'oldhollywoodtrailers', 'denzel washington', 'mila kunis', 'gary oldman', 'post apocalypse', 'hughes brothers', 'the bible', 'God', 'walking in faith', 'hope', 'thriller', 'intense', 'atticus ross', 'the book of eli', 'the book of eli trailer']",1842910,6814,356,532,20504,0.4018218623481782
kAMUv22y1og,"""The Book of Eli"" - Official Trailer [HD HQ]",watchCulturetainment,UCuJXQzdMnQuNGkYJqgIwb-w,"Coming to theatres on January 15, 2010
Starring Denzel Washington, Gary Oldman, Mila Kunis, Ray Stevenson, Michael Gambon, Evan Jones, Jennifer Beals.

In The Book of Eli, Denzel Washington stars as a lone warrior named Eli, who fights his way across the desolate wasteland of near-future America to realize his destiny and deliver the knowledge that can bring civilization back from the brink of destruction and save the future of humanity.","['the', 'book', 'of', 'eli', 'film', 'official', 'trailer', 'Denzel Washington', 'Gary Oldman', 'Mila Kunis', 'Ray Stevenson', 'armageddon', 'fallout', '2012']",3325499,4505,322,1983,20504,0.5
c-hSjx1PzKU,El Libro De Eli - Trailer Español,Javier Perez,UC09K-LEq5S1290bdF3XstaQ,El Libro De Eli - Trailer Español - www.GranIlusion.com,"['el', 'libro', 'de', 'eli', 'trailer', 'español', 'meveo']",222374,405,34,9,20504,0.1
w3c6KBkjx-4,The Book of Eli - Trailer (Deutsch),Moviepilot Trailer,UCwKG44S4aQjptecj40-ItRQ,Alle Infos auf http://www.moviepilot.de,"['trailer', 'new', 'toyoutube', 'warner', 'deutsch']",434644,647,57,100,20504,0.35714285714285715
-6IX1nWqW3o,The Book of Eli (2010) - Street Shootout Scene (5/10) | Movieclips,Movieclips,UC3gNmTGu-TTbFPpfSs5kNkg,"The Book of Eli - Street Shootout: When Carnegie's (Gary Oldman) men attack, Eli (Denzel Washington) takes them all down single-handedly.
BUY THE MOVIE: https://www.fandangonow.com/details/movie/the-book-of-eli-2010/1MV9e39f64934c7d0f3890568840f923f6c?cmp=Movieclips_YT_Description

Watch the best The Book of Eli scenes & clips:
https://www.youtube.com/playlist?list=PLZbXA4lyCtqoJ416b7xix-Y590qt7hXNi

FILM DESCRIPTION:
Thirty years after war turned the world into a wasteland, a lone warrior named Eli (Denzel Washington) marches across the ruined landscape, carrying hope for humanity's redemption. Only one other man (Gary Oldman) understands the power of what Eli carries, and he is determined to take it for himself. Though Eli prefers peace, he will risk death to protect his precious cargo, for he must fulfill his destiny to help restore mankind.

CREDITS:
TM & © Warner Bros. (2010)
Cast: Denzel Washington, Gary Oldman, Jennifer Beals, Mila Kunis, Ray Stevenson
Director: Albert Hughes, Allen Hughes
Screewriter: Gary Whitta

Watch More:
► Fresh New Clips: http://bit.ly/2taDWqW
► Classic Trailers: http://bit.ly/2qTCxHF
► Hot New Trailers: http://bit.ly/2qThrsF
► Clips From Movies Coming Soon: http://bit.ly/2FrP8VL
► Indie Movie Clips: http://bit.ly/2qTZMRE
► Deleted Scenes: http://bit.ly/2ARbLPJ
► Bloopers: http://bit.ly/2qYmBnc
► Celebrity Interviews: http://bit.ly/2D4tzw4

Fuel Your Movie Obsession: 
► Subscribe to MOVIECLIPS: http://bit.ly/2CZa490
► Watch Movieclips ORIGINALS: http://bit.ly/2D3sipV
► Like us on FACEBOOK: http://bit.ly/2DikvkY
► Follow us on TWITTER: http://bit.ly/2mgkaHb
► Follow us on INSTAGRAM: http://bit.ly/2mg0VNU

The MOVIECLIPS channel is the largest collection of licensed movie clips on the web. Here you will find unforgettable moments, scenes, and lines from all your favorite films. Made by movie fans, for movie fans.","['book of eli film', 'book of eli movie', 'book of eli full movie', 'book of eli denzel washington', 'book of eli denzel washington blind', 'book of eli gary oldman', 'book of eli mila kunis', 'book of eli part', 'book of eli clip', 'book of eli scene', 'book of eli bridge fight scene', 'book of eli mila kunis sunglasses', 'book of eli ending scene', 'book of eli blind reveal', 'book of eli first fight scene', 'book of eli shootout scene', 'denzel washington movies', 'book of eli cannibals']",89280,834,16,155,20504,-0.19428733031674209
aRK4YcnTtIk,The Book of Eli (2010) - Pray for Me Scene Scene (7/10) | Movieclips,Movieclips,UC3gNmTGu-TTbFPpfSs5kNkg,"The Book of Eli - Pray for Me: After getting his hands on the Bible, Carnegie (Gary Oldman) shoots Eli (Denzel Washington).
BUY THE MOVIE: https://www.fandangonow.com/details/movie/the-book-of-eli-2010/1MV9e39f64934c7d0f3890568840f923f6c?cmp=Movieclips_YT_Description

Watch the best The Book of Eli scenes & clips:
https://www.youtube.com/playlist?list=PLZbXA4lyCtqoJ416b7xix-Y590qt7hXNi

FILM DESCRIPTION:
Thirty years after war turned the world into a wasteland, a lone warrior named Eli (Denzel Washington) marches across the ruined landscape, carrying hope for humanity's redemption. Only one other man (Gary Oldman) understands the power of what Eli carries, and he is determined to take it for himself. Though Eli prefers peace, he will risk death to protect his precious cargo, for he must fulfill his destiny to help restore mankind.

CREDITS:
TM & © Warner Bros. (2010)
Cast: Denzel Washington, Gary Oldman, Mila Kunis, Ray Stevenson
Director: Albert Hughes, Allen Hughes
Screewriter: Gary Whitta

Watch More:
► Fresh New Clips: http://bit.ly/2taDWqW
► Classic Trailers: http://bit.ly/2qTCxHF
► Hot New Trailers: http://bit.ly/2qThrsF
► Clips From Movies Coming Soon: http://bit.ly/2FrP8VL
► Indie Movie Clips: http://bit.ly/2qTZMRE
► Deleted Scenes: http://bit.ly/2ARbLPJ
► Bloopers: http://bit.ly/2qYmBnc
► Celebrity Interviews: http://bit.ly/2D4tzw4

Fuel Your Movie Obsession: 
► Subscribe to MOVIECLIPS: http://bit.ly/2CZa490
► Watch Movieclips ORIGINALS: http://bit.ly/2D3sipV
► Like us on FACEBOOK: http://bit.ly/2DikvkY
► Follow us on TWITTER: http://bit.ly/2mgkaHb
► Follow us on INSTAGRAM: http://bit.ly/2mg0VNU

The MOVIECLIPS channel is the largest collection of licensed movie clips on the web. Here you will find unforgettable moments, scenes, and lines from all your favorite films. Made by movie fans, for movie fans.","['book of eli film', 'book of eli movie', 'book of eli full movie', 'book of eli denzel washington', 'book of eli denzel washington blind', 'book of eli gary oldman', 'book of eli mila kunis', 'book of eli part', 'book of eli clip', 'book of eli scene', 'book of eli bridge fight scene', 'book of eli mila kunis sunglasses', 'book of eli ending scene', 'book of eli blind reveal', 'book of eli first fight scene', 'book of eli shootout scene', 'denzel washington movies', 'book of eli cannibals']",64855,363,10,32,20504,-0.17392373923739238
1K45RdE2qlk,"Valentine's Day (2010) Official Trailer - Julia Roberts, Jamie Foxx Movie HD",Movieclips Classic Trailers,UCTCjFFoX1un-j7ni4B6HJ3Q,"Valentine's Day (2010) Official Trailer - Julia Roberts, Jamie Foxx Movie HD
Subscribe to CLASSIC TRAILERS: http://bit.ly/1u43jDe
Subscribe to TRAILERS: http://bit.ly/sxaw6h
Subscribe to COMING SOON: http://bit.ly/H2vZUn
Like us on FACEBOOK: http://bit.ly/1QyRMsE
Follow us on TWITTER: http://bit.ly/1ghOWmt

Intertwining couples and singles in Los Angeles break-up and make-up based on the pressures and expectations of Valentine's Day.

Welcome to the Fandango MOVIECLIPS Trailer Vault Channel. Where trailers from the past, from recent to long ago, from a time before YouTube, can be enjoyed by all. We search near and far for original movie trailer from all decades. Feel free to send us your trailer requests and we will do our best to hunt it down.","['movieclips', 'movieclipstrailers', 'new trailers', 'trailers HD', 'hd', 'trailers', 'trailer', '2013', 'official', 'HD', 'zefr', 'classic trailers', ""valentine's day"", ""valentine's day trailer"", '2010', 'LA', 'los angeles', 'couples', 'ensemble cast', 'valentine', 'Garry Marshall', 'Julia Roberts', 'Jamie Foxx', 'Anne Hathaway', 'Jessica Alba', 'Kathy Bates', 'Jessica Biel', 'Bradley Cooper', 'Patrick Dempsey', 'Jennifer Garner', 'Topher Grace', 'topher grace', 'Ashton Kutcher', 'Queen Latifah', 'Taylor Lautner', 'taylor swift', 'love', 'romance', 'comedy']",1968745,9822,222,263,32856,0.26181818181818184
4gS8P8NE3Gk,VALENTINE'S DAY (2010) - Official Movie Trailer,soundfan,UCK8GCZ69870w7ZduDhTmE6Q,"Valentine's Day (2010)
Director: Garry Marshall
Starring: Julia Roberts, Jamie Foxx, Anne Hathaway, Jessica Alba, Kathy Bates, Jessica Biel, Bradley Cooper, Eric Dane, Patrick Dempsey, Hector Elizondo, Jennifer Garner, Topher Grace, Ashton Kutcher, Queen Latifah, Taylor Lautner, George Lopez, Shirley MacLaine, Emma Roberts and Taylor Swift.


I do NOT own this video or right to it. The rights of this video go towards the movie company and the people who created this movie.


trailer teaser sneak peak featurette ellen interview new hq hd 720p 1080p 720 1080 2011 2010 2012 2013 2014 deleted scene movie film awards official hot sexy funny theatrical original score tv spot Friday night cowboys and aliens thor Don't Be Afraid Of The Dark The Adventures Of Tintin The Secret Of The Unicorn the twilight saga breaking dawn trailer official 2011 part 1 new moon eclipse 2 The Muppets contagion x-men first class Sherlock Holmes A Game Of Shadows midnight in paris harry potter and the deathly hallows part 2 green lantern scream 5 super 8 hugo cabret pirates of the caribbean 5 Captain America The First Avenger Mission Impossible Ghost Protocol the hangover part II 2 Transformers The Dark Of The Moon The Wolverine war horse Girl With the Dragon Tattoo now titanic 3d #1 #2 national treasure 3 horrible bosses the tree of life The Three Musketeers star wars the smurfs Beginners Submarine Beautiful Boy the trip poppers penguins cars 2 Winnie the Pooh another earth cowboys and aliens crazy stupid love the devil's double the hobbit part interview trailer official 2011 2012","['trailer', 'teaser', 'sneak', 'peak', 'featurette', 'interview', 'new', 'hq', 'hd', '2011', '2010', '2012', '2013', '2014', 'movie', 'film', 'official', 'hot', 'sexy', 'funny', 'theatrical', 'twilight', 'breaking', 'dawn', ""velentine's"", 'day']",37342,153,8,11,32856,0.3803921568627451
JA2z8rHk8k0,Valentine's Day  - Official Trailer HD,antonia dobrea,UCw9hVa9r1rwudmkCnghdCqQ,"Plot: Intertwining couples and singles in Los Angeles break-up and make-up based on the pressures and expectations of Valentine's Day.

release date: 12 feb 2010 USA","[""Valentine's"", 'Day', 'Trailer', 'Movie', 'Preview', 'Romantic', 'Comedy', 'trailer', 'Jessica', 'Alba', 'Kathy', 'Bates', 'Biel', 'Bradley', 'Cooper', 'Eric', 'Dane', 'Patrick', 'Dempsey', 'Hector', 'Elizondo', 'Jamie', 'Foxx', 'jennifer', 'Garner', 'Topher', 'Grace', 'Anne', 'Hathaway', 'Carter', 'Jenkins', 'Ashton', 'Kutcher', 'Queen', 'Latifah', 'Taylor', 'Lautner', 'super', 'comedy', 'romance', 'love', 'story', 'top', 'movie', 'official', 'valentines', 'day', 'fun', 'entertainment', 'great', 'actors', 'Historias', 'de', 'San', 'Valentín', 'Idas', 'Vindas', 'do', 'Amor', 'День', 'святого', 'Валентина', 'Valentinstag']",52685,104,7,2,32856,0.4545454545454546
gPmMkDaEJUw,Valentine's Day Trailer,Warner Bros NL,UCtS8hD5lhZTgHZAKeD89CFA,"Valentine's Day draait vanaf 11 februari in de bioscoop!

Wil je meer weten over Valentine's Day? Ga dan naar http://www.valentinesdayfilm.nl


Valentine's Day is een romantische komedie van de maker van Pretty Woman, waarin verschillende koppels in Los Angeles gevolgd worden. Iedereen beleeft op zijn of haar eigen manier liefde en vriendschap gedurende de meest liefdevolle dag van het jaar: Valentijnsdag.

Regie is in handen van Garry Marshall (Pretty Woman), met in de hoofdrollen Jessica Alba (Fantastic Four), Oscar®-winnaar Kathy Bates (Misery), Jessica Biel (I Now Pronounce You Chuck & Larry), Bradley Cooper (The Hangover), Eric Dane ( Greys Anatomy), Patrick Dempsey (Enchanted), Hector Elizondo (de Princess Diaries films), Oscar®-winnaar winner Jamie Foxx (Ray), Jennifer Garner (Juno), Topher Grace (Spider-Man 3), Anne Hathaway (Rachel Getting Married), Ashton Kutcher (What Happens in Vegas), Queen Latifah (Chicago), Taylor Lautner (The Twilight Saga: New Moon), George Lopez (Beverly Hills Chihuahua), Oscar®-winnaar Shirley MacLaine (Terms of Endearment), Emma Roberts (Hotel for Dogs), Oscar®-winnaar winner Julia Roberts (Erin Brockovich) en singer-songwriter Taylor Swift.","[""Valentine's Day"", 'Valentine', 'Valentijnsdag', 'Day', 'comedy', 'komedie', 'romantisch', 'grappig', 'liefde', 'Garry Marshall', 'Jessica Alba', 'Kathy Bates', 'Jessica Biel', 'Bradley Cooper', 'Eric Dane', 'Patrick Dempsey', 'Hector Elizondo', 'Jamie Foxx', 'Jennifer Garner', 'Topher Grace', 'Anne Hathaway', 'Ashton Kutcher', 'Queen Latifah', 'Taylor Lautner', 'George Lopez', 'Shirley Maclaine', 'Emma Roberts', 'Julia Roberts', 'Taylor Swift', 'Nederlands', 'Dutch']",117898,112,14,11,32856,0.4112903225806452
