,title,tmdb_id,year,budget,vote_count,vote_average,runtime,popularity,view_count,like_count,dislike_count,comment_count,film-noir,mystery,action,imax,sci-fi,romance,musical,comedy,war,crime,children,fantasy,horror,drama,western,adventure,animation,thriller,revenue,predicted,difference,percent_off
565,Phantom Thread,400617,2017,35000000.0,2279.0,7.3,130.0,23.031,11624054,32674,3753,2369,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,47756590.0,93612081,-45855491.0,96.0
496,Passengers,274870,2016,110000000.0,9746.0,6.9,116.0,17.552,38269726,194807,7837,20985,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,303144152.0,612832835,-309688683.0,102.0
413,Straight Outta Compton,277216,2015,28000000.0,2614.0,7.8,147.0,29.572,17339248,137092,3049,11577,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,201634991.0,108009935,93625056.0,46.0
595,Searching,489999,2018,1000000.0,2427.0,7.6,103.0,35.393,12089844,74906,3225,7120,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,66265218.0,42218683,24046535.0,36.0
0,The Book of Eli,20504,2010,80000000.0,4303.0,6.7,118.0,24.843000000000004,3326366,4507,322,1982,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,157107755.0,224906722,-67798967.0,43.0
139,Abraham Lincoln: Vampire Hunter,72331,2012,69000000.0,2352.0,5.6,94.0,34.469,9944765,23176,1928,8259,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,116471580.0,215087398,-98615818.0,85.0
543,Blade Runner 2049,335984,2017,150000000.0,8770.0,7.5,164.0,94.48299999999999,57454115,325831,17445,34828,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,259239658.0,784258715,-525019057.0,202.99999999999997
251,Her,152601,2013,23000000.0,10206.0,7.9,126.0,26.224,9182779,46091,1459,4380,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,47351251.0,135795544,-88444293.0,187.0
145,Skyfall,37724,2012,200000000.0,11976.0,7.1,143.0,43.74,45870938,118724,4912,9995,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1108561013.0,819556239,289004774.0,26.0
599,Bad Times at the El Royale,446021,2018,32000000.0,2329.0,6.8,142.0,26.980999999999998,27967310,52796,1970,3518,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,31882724.0,120659511,-88776787.0,278.0
330,The Hobbit: The Battle of the Five Armies,122917,2014,250000000.0,10271.0,7.3,144.0,94.84,57723557,277574,6957,30299,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,956019788.0,962504546,-6484758.0,1.0
262,Non-Stop,225574,2014,50000000.0,3928.0,6.8,106.0,35.23699999999999,14908793,35717,1401,4351,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,222809600.0,142887614,79921986.0,36.0
