,r-squared
nn-norm-27-1090-3740-1460-1020-1-weights.h5,0.7811454583684834
nn-norm-27-1260-640-1-weights.h5,0.7894337110991878
nn-norm-27-1590-1940-1-weights.h5,0.7061000823050787
nn-norm-27-1940-3370-3120-1200-1-weights.h5,0.8108424711508054
nn-norm-27-1980-30-4100-1210-3000-1-weights.h5,0.7887768398519239
nn-norm-27-2140-2010-4170-1-weights.h5,0.7755427711697411
nn-norm-27-2470-380-4270-2680-1-weights.h5,0.8169003698693901
nn-norm-27-2760-2200-1020-1960-1-weights.h5,0.7804744185922551
nn-norm-27-280-2280-890-1100-4620-1-weights.h5,0.8042784941241851
nn-norm-27-3310-3490-2140-4650-1-weights.h5,0.7993535822634393
nn-norm-27-3850-3130-4500-4290-1-weights.h5,0.7820955930746042
nn-norm-27-3940-1720-890-1-weights.h5,0.7650001317504206
nn-norm-27-4540-2610-1310-1-weights.h5,0.8010920501047245
